"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Rank","D_Score","E_Score","Penalty","Score","FullName","HB","PH","FX","PB","SR","VT","BB","UB","Total"
"HASHIMOTO","Daiki","m","JPN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",2,6,8.666,NA,14.666,"Daiki_HASHIMOTO",14.7831666666667,13.7196,14.313,12.15825,14.07475,14.7866666666667,NA,NA,83.8354333333333
"BAGO","Daniel","m","CZE","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",43,4.9,8.5,NA,13.4,"Daniel_BAGO",12.233,11.766,13.4,10.6665,12.4165,13.266,NA,NA,73.748
"CARRION CARO","Daniel","m","ESP","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",21,5.2,8.466,NA,13.666,"Daniel_CARRION CARO",11.633,12.466,12.116,12.8995,11.833,13.3106666666667,NA,NA,74.2581666666667
"FOX","Daniel","m","IRL","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",100,3.8,7.866,NA,11.666,"Daniel_FOX",11.966,12.8,11.666,12.866,13.733,13.2,NA,NA,76.231
"LEE","Daniel","m","JEY","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",10,5.1,7.6,NA,12.7,"Daniel_LEE",12.65,12.175,12.775,13.8,13.0333333333333,14.25,NA,NA,78.6833333333333
"RADOVESNICKY","Daniel","m","CZE","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",118,4.4,7.3,NA,11.7,"Daniel_RADOVESNICKY",12.366,10.5,11.7,12.8,11.7,13.066,NA,NA,72.132
"SMYLLIE","Daniel","m","GBR","23-26 Mar 2023","2023 British Gymnastics Championships","qual","Liverpool, England",30,4.8,5.7,0.1,10.4,"Daniel_SMYLLIE",10.45,0.05,10.4,NA,9.85,12.3,NA,NA,43.05
"STODDART","Daniel","m","NZL","05-06 May 2023","Oceania Continental Championships 2023","aa","Carrara, Australia",NA,4.1,8.6,0,12.7,"Daniel_STODDART",NA,NA,NA,12.7,12.933,NA,NA,NA,25.633
"TUYA PEREZ","Daniel","m","ESP","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",23,4.6,8.433,NA,13.033,"Daniel_TUYA PEREZ",NA,NA,NA,NA,13.033,12.433,NA,NA,25.466
"Zander","Daniel","m","AUT","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",11,5.3,8.1,NA,13.4,"Daniel_Zander",NA,NA,12.95,NA,12.525,NA,NA,NA,25.475
"ZANDER","Daniel","m","AUT","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",35,5.3,7.866,NA,13.166,"Daniel_ZANDER",11.966,11.066,13.166,12.4,12.566,12.633,NA,NA,73.797
"RICHARDS","Danyella","w","JAM","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",29,4.4,5.85,NA,10.25,"Danyella_RICHARDS",NA,NA,11.15,NA,NA,12.3,10.25,9.9,43.6
"","Daria Angelina","w","SUI","25-28 May 2023","2023 Varna World Challenge Cup Results","final","Varna, Bulgaria",8,3.6,8.733,0,12.333,"Daria Angelina_",NA,NA,NA,NA,NA,12.2165,NA,NA,12.2165
"HARTMANN","Daria Angelina","w","SUI","25-28 May 2023","2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria",9,4.6,7.633,0,12.233,"Daria Angelina_HARTMANN",NA,NA,12.05,NA,NA,12.283,12.233,NA,36.566
"SISSAKIS","Dario","m","GE1","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",34,5.6,7.85,0.3,13.15,"Dario_SISSAKIS",9.6,NA,12.7166666666667,12.4165,12.872,13.65175,NA,NA,61.2569166666667
"ELBE","Darja","w","LAT","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",113,3.7,5.3,NA,9,"Darja_ELBE",NA,NA,NA,NA,NA,NA,9,8.2,17.2
"YASSINSKAYA","Darya","w","KAZ","1-4 Mar 2023","World Cup","qual","Doha, Qatar",35,3.8,5.866,NA,9.666,"Darya_YASSINSKAYA",NA,NA,11.0776666666667,NA,NA,12.483,9.666,NA,33.2266666666667
"CHOI","Dasol","w","KOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",19,4.2,7.466,NA,11.666,"Dasol_CHOI",NA,NA,10.766,NA,NA,12,11.666,8.766,43.198
"HUDDLESTON","David","m","BUL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",122,5,6.7,0.1,11.6,"David_HUDDLESTON",11.6665,12.7165,11.633,14.1495,13.2665,14.216,NA,NA,77.648
"RUMBUTIS","David","m","SWE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",111,4.5,7.566,NA,12.066,"David_RUMBUTIS",12.7773333333333,12.4216666666667,12.6495,13.5773333333333,12.7495,13.9386666666667,NA,NA,78.114
"TANNER","David","m","AUS","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",30,5.2,8.1,0.1,13.2,"David_TANNER",11.55,10.9915,11.4165,13.358,13.1165,6.05,NA,NA,66.4825
"Vecsernyes","David","m","HUN","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",13,5.6,7,NA,12.6,"David_Vecsernyes",12.6,NA,NA,NA,NA,NA,NA,NA,12.6
"VECSERNYES","David","m","HUN","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",10,5.8,7.7,NA,13.5,"David_VECSERNYES",13.5165,11.266,NA,NA,NA,NA,NA,NA,24.7825
"WEIR","David","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","final","Liverpool, England",6,5.3,8.33,0,13.633,"David_WEIR",12.483,11.05,13.1443333333333,12.7,12.45,13.5132,NA,NA,75.3405333333333
"LEE","Dayeong","w","KOR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",103,4.5,6.466,NA,10.966,"Dayeong_LEE",NA,NA,11.7565,NA,NA,12.8433333333333,11.76625,12.0553333333333,48.4214166666667
"SALMINA","Deborah","w","VEN","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",6,4.8,7.05,0.1,11.75,"Deborah_SALMINA",NA,NA,12.4166666666667,NA,NA,12.775,11.1,12.025,48.3166666666667
"YIN","Dehang","m","CHN","1-4 Mar 2023","World Cup","final","Doha, Qatar",8,6.3,7.333,NA,13.633,"Dehang_YIN",NA,14.0665,NA,NA,NA,NA,NA,NA,14.0665
"Pedrick","Denelle","w","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",14,5.6,6.3,NA,11.9,"Denelle_Pedrick",NA,NA,13.1,NA,NA,12.97475,11.9,12.433,50.40775
"PEDRICK","Denelle","w","CAN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",66,5.5,6.2,NA,11.7,"Denelle_PEDRICK",NA,NA,12.9,NA,NA,13.033,11.7,NA,37.633
"TANRIYASUKUR","Derin","w","TUR","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",47,4.4,7.1,0.1,11.4,"Derin_TANRIYASUKUR",NA,NA,11.516,NA,NA,NA,11.6665,12.133,35.3155
"SAVELIEVA","Diana","w","UKR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",127,4.4,5.9,0.1,10.2,"Diana_SAVELIEVA",NA,NA,11.6773333333333,NA,NA,NA,9.53333333333333,NA,21.2106666666667
"REINHARDT CODINA","Dietmar V.","m","ESP","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",24,4.9,8.15,NA,13.05,"Dietmar V._REINHARDT CODINA",13.05,11.85,NA,13.4,NA,NA,NA,NA,38.3
"REINHARDT","Dietmar","m","ESP","25-28 May 2023","2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria",20,5,5.85,0,10.85,"Dietmar_REINHARDT",11.825,13.133,NA,13.025,12.6,NA,NA,NA,50.583
"JIMENEZ","Dilan","m","COL","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",1,5.6,8.25,NA,13.85,"Dilan_JIMENEZ",12.075,11.5,13.7833333333333,13.0833333333333,12.4,13.75,NA,NA,76.5916666666667
"JIMENEZ GIRALDO","Dilan","m","COL","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",29,5.2,7.266,NA,12.466,"Dilan_JIMENEZ GIRALDO",NA,NA,NA,13.8662,12.455,NA,NA,NA,26.3212
"ARIPOVA","Dildora","w","UZB","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",135,4.6,5.333,NA,9.933,"Dildora_ARIPOVA",NA,NA,12.1995,NA,NA,12.39125,11.2995,10.6198,46.51005
"DIMITROV","Dimitar","m","BUL","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",107,5.9,5.566,0.2,11.266,"Dimitar_DIMITROV",NA,NA,11.266,NA,12.233,13.6885,NA,NA,37.1875
"SOARES","Diogo","m","BRA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",24,5.3,7.466,NA,12.766,"Diogo_SOARES",13.916,13.4995,13.116,13.2665,12.983,14.183,NA,NA,80.964
"ESCOBAR","Diorges","m","CUB","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",6,5.4,7.7,NA,13.1,"Diorges_ESCOBAR",13.5833333333333,12.1,13.45,13.35,12.05,13.925,NA,NA,78.4583333333333
"LINDSAY","Dixie","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",50,3.6,6.25,0,9.85,"Dixie_LINDSAY",NA,NA,11.65,NA,NA,12.35,9.85,10.75,44.6
"TOISHYBEK","Diyas","m","KAZ","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China",56,4.7,7.833,NA,12.533,"Diyas_TOISHYBEK",10.8165,13.016,12.533,13.033,NA,12.9,NA,NA,62.2985
"LAROUI","Djenna","w","FRA","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",13,5,7.866,NA,12.866,"Djenna_LAROUI",NA,NA,11.95375,NA,NA,9.37475,10.533,12.8198,44.6813
"MICKEVICS","Dmitrijs","m","LAT","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",42,5.3,7.766,NA,13.066,"Dmitrijs_MICKEVICS",NA,13.1941666666667,NA,NA,NA,NA,NA,NA,13.1941666666667
"PATANIN","Dmitriy","m","KAZ","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",57,5.9,7.566,0.2,13.266,"Dmitriy_PATANIN",10.9665,NA,13.6486666666667,12.9495,12.8198,13.2424285714286,NA,NA,63.6268952380952
"TRAN","Doan Quynh Nam","w","VIE","27-30 Apr 2023","World Cup","qual","Cairo, Egypt",31,4.8,5.266,0.1,9.966,"Doan Quynh Nam_TRAN",NA,NA,12.1,NA,NA,NA,9.966,NA,22.066
"EOM","Dohyun","w","KOR","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",119,5.4,5.1,NA,10.5,"Dohyun_EOM",NA,NA,12.633,NA,NA,12.6,10.5,13.066,48.799
"TAMSEL","Dominic Daniel","m","SUI","1-5 Aug 2023","2023 FISU World University Games","final","Chengdu, China",4,5.3,8.466,NA,13.76,"Dominic Daniel_TAMSEL",13.68,12.966,NA,13.85,13.2,NA,NA,NA,53.696
"TAMSEL","Dominic","m","SUI","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",21,5.5,8.566,NA,14.066,"Dominic_TAMSEL",NA,13.45,NA,14.083,13.2165,NA,NA,NA,40.7495
"CUNNINGHAM","Dominick","m","IRL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",29,5.7,8.1,NA,13.8,"Dominick_CUNNINGHAM",12.5773333333333,11.8773333333333,13.2205,12.844,12.7995,13.9596,NA,NA,77.2782666666667
"PONIZILOVA","Dominika","w","CZE","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",44,4.2,7.766,NA,11.966,"Dominika_PONIZILOVA",NA,NA,12.0745,NA,NA,12.445625,11.9996666666667,11.358,47.8777916666667
"WHITTENBURG","Donnell","m","USA","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",18,6.4,7.733,NA,14.133,"Donnell_WHITTENBURG",12.55,12.833,13.433,13.666,14.233,0,NA,NA,66.715
"Djordjevic","Dusan","m","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",15,5.8,7.5,NA,13.3,"Dusan_Djordjevic",NA,NA,13.3,NA,NA,13.675,NA,NA,26.975
"DORDEVIC","Dusan","m","SRB","25-28 May 2023","2023 Varna World Challenge Cup Results","final","Varna, Bulgaria",5,5.4,8.133,0,13.53,"Dusan_DORDEVIC",NA,NA,13.1655,NA,NA,13.77875,NA,NA,26.94425
"MONTGOMERY","Eamon","m","IRL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",77,5.9,7,NA,12.9,"Eamon_MONTGOMERY",NA,NA,13.383,NA,NA,NA,NA,NA,13.383
"Penev","Eddie","m","","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",1,5.8,8.3,NA,14.1,"Eddie_Penev",NA,NA,14.225,NA,NA,14,NA,NA,28.225
"PENEV","Eddie","m","BUL","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",53,5.6,7.633,NA,13.233,"Eddie_PENEV",13.1915,10.45,13.6976666666667,NA,NA,14.266,NA,NA,51.6051666666667
"YUSOF","Eddy","m","SUI","11-16 Apr 2023","2023 Senior European Championships","final","Antalya, Turkey",6,5.9,7.566,NA,13.466,"Eddy_YUSOF",NA,12.625,NA,14.0553333333333,13.6415,NA,NA,NA,40.3218333333333
"DE ROSA","Edoardo","m","ITA","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",38,5.3,7.5,NA,12.8,"Edoardo_DE ROSA",11.8,14.4,12.65,13.55,13.058,6.85,NA,NA,72.308
"GONZALES","Edward","m","PER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",123,5.2,6.6,0.2,11.6,"Edward_GONZALES",11.033,12.566,11.6,12.8,11.833,13.7,NA,NA,73.532
"ROLIN","Edward","m","VEN","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",6,5.4,7.7,NA,13.1,"Edward_ROLIN",11.2,11.4,12.55,12.95,12.1166666666667,13.6,NA,NA,73.8166666666667
"GORRELL","Eilidh","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",39,4.3,6.1,0,10.4,"Eilidh_GORRELL",NA,NA,11.7166666666667,NA,NA,11.5666666666667,10.9833333333333,11.1166666666667,45.3833333333333
"PETROUNIAS","Eleftherios","m","GRE","18-21 Aug 2022","2022 Senior European Championships","final","Munich, Germany",1,6.2,8.933,NA,15.133,"Eleftherios_PETROUNIAS",NA,NA,NA,NA,14.752,NA,NA,NA,14.752
"WAHRMANN BAKER","Elel","m","JAM","24-28 Jun 2023","2023 Central American and Caribbean Games","AAfinal","San Salvador, El Salvador",12,4.5,8.3,NA,12.8,"Elel_WAHRMANN BAKER",11.1,11.95,12.7,12.225,11.325,13.075,NA,NA,72.375
"MELKE","Elena","w","LAT","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",112,3.1,6.533,NA,9.633,"Elena_MELKE",NA,NA,9.633,NA,NA,11.2,NA,NA,20.833
"USAKOVA","Elena","w","SVK","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",63,4.3,7.2,NA,11.5,"Elena_USAKOVA",NA,NA,11,NA,NA,11.933,11.5,NA,34.433
"KOSKI","Elias","m","FIN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",80,5,7.9,0.1,12.8,"Elias_KOSKI",13.04975,13.213,13.2415,13.0796,13.0495,13.7665,NA,NA,79.39985
"GRAVIN","Elina","w","SWE","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",80,3.7,7.433,NA,11.133,"Elina_GRAVIN",NA,NA,12.233,NA,NA,NA,12.333,11.133,35.699
"Ioscovich","Eliran","m","ISR","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel",3,5.3,8.3,NA,13.6,"Eliran_Ioscovich",NA,NA,13.6,NA,NA,13.5,NA,NA,27.1
"IOSCOVICH","Eliran","m","ISR","25-28 May 2023","2023 Varna World Challenge Cup Results","final","Varna, Bulgaria",8,5.3,8.066,0.3,13.06,"Eliran_IOSCOVICH",12.5,11.1,12.8366666666667,13.5,12.35,10.1,NA,NA,72.3866666666667
"Hämmerle","Elisa","w","AUT","8-11 Jun 2023","2023 Osijek Challenge Cup","final","Osijek, Croatia.",6,4.7,7.933,NA,12.633,"Elisa_Hämmerle",NA,NA,12.3495,NA,NA,NA,12.4995,NA,24.849
"IORIO","Elisa","w","ITA","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",3,6.2,7.566,NA,13.766,"Elisa_IORIO",NA,NA,NA,NA,NA,NA,NA,13.766,13.766
"GEURTS","Elisabeth","w","NED","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",37,4.7,6.55,NA,11.25,"Elisabeth_GEURTS",NA,NA,12,NA,NA,7,11.25,13.1,43.35
"SEITZ","Elisabeth","w","GER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","final","Liverpool, England",4,6.1,8.266,NA,14.366,"Elisabeth_SEITZ",NA,NA,NA,NA,NA,13.308,10.3,14.0516666666667,37.6596666666667
"WAGNER","Elisabeth","w","GER","1-5 Aug 2023","2023 FISH World University Games","AAfinal","Chengdu, China",12,3.7,7.633,NA,11.333,"Elisabeth_WAGNER",NA,NA,11.5665,NA,NA,11.9665,11.2165,11.75,46.4995
"STOTT","Elisha","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",62,3.3,5.4,0,8.7,"Elisha_STOTT",NA,NA,10.6,NA,NA,10.6,8.7,8.75,38.65
"DRNCOVA","Eliska","w","CZE","11-16 Apr 2023","2023 Senior European Championships","qual","Antalya, Turkey",83,4.9,5.4,0.1,10.2,"Eliska_DRNCOVA",NA,NA,11.966,NA,NA,12.166,11.133,11.8495,47.1145
"BORG","Ella","w","MLT","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",138,4.4,5.2,NA,9.6,"Ella_BORG",NA,NA,11.3773333333333,NA,NA,11.811,9.511,8.83333333333333,41.5326666666667
"ROBINSON","Ella","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",32,4.2,6.6,0,10.8,"Ella_ROBINSON",NA,NA,11.375,NA,NA,12,11.225,9.525,44.125
"BELBIN","Ellie","w","GBR","23-26 Mar 2023","2023 British Gymnastics Championships","qual","Liverpool, England",36,4.1,6.1,0,10.2,"Ellie_BELBIN",NA,NA,11.45,NA,NA,12.875,10.2,9.25,43.775
"GARGETT","Ellie","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",44,3.3,6.85,0,10.15,"Ellie_GARGETT",NA,NA,10.05,NA,NA,11.85,10.15,NA,32.05
"PATRICK","Ellie","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",10,4.8,7.1,0,11.9,"Ellie_PATRICK",NA,NA,11.85,NA,NA,12.25,11.9,12.05,48.05
"RUSSELL","Ellie","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",24,4.5,7.3,0,11.8,"Ellie_RUSSELL",NA,NA,11.8,NA,NA,12.45,NA,11.85,36.1
"COOPER","Elliott","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",27,4.8,7.65,0,12.45,"Elliott_COOPER",12.3,12.05,12.45,12.7,11.55,12.55,NA,NA,73.6
"BLACK","Elsabeth","w","CAN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England",4,5.8,7.633,NA,13.433,"Elsabeth_BLACK",NA,NA,13.2995,NA,NA,13.89125,13.4216666666667,13.933,54.5454166666667
"KATSALI","Elvira","w","GRE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",40,4.7,7.633,NA,12.333,"Elvira_KATSALI",NA,NA,11.55,NA,NA,11.7995,11.3443333333333,10.044,44.7378333333333
"WESTLUND","Emelie","w","SWE","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",75,4.3,7.233,NA,11.533,"Emelie_WESTLUND",NA,NA,11.916,NA,NA,12.3773333333333,11.4996,12.5932,48.3861333333333
"Akhmejanov","Emil","m","","8-11 Jun 2023","2023 Osijek Challenge Cup","qual","Osijek, Croatia.",26,5.7,5.65,NA,11.35,"Emil_Akhmejanov",9,12.6,11.35,13.1,NA,14.179,NA,NA,60.229
"AKHMEJANOV","Emil","m","KAZ","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",129,5.7,5.4,0.5,10.6,"Emil_AKHMEJANOV",12.058,7.7665,12.4666666666667,12.7,11.766,13.7298,NA,NA,70.4869666666667
"BARBER","Emil","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","final","Liverpool, England",5,5.4,8.27,0,13.666,"Emil_BARBER",12.35,11.1,13.7665,12.9,NA,13.7165,NA,NA,63.833
"SORAVUO","Emil","m","FIN","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",11,5.5,8.633,NA,14.133,"Emil_SORAVUO",NA,NA,14.133,NA,NA,NA,NA,NA,14.133
"KULCZYNSKA","Emilia","w","POL","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",68,4.5,6.8,NA,11.3,"Emilia_KULCZYNSKA",NA,NA,10.7495,NA,NA,11.7996666666667,11.75,11.433,45.7321666666667
"BREMNER","Emily","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",18,4.7,6.85,0.1,11.45,"Emily_BREMNER",NA,NA,11.625,NA,NA,12.85,11.475,11.4,47.35
"MOORHEAD","Emily","w","IRL","11-14 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",99,4.2,6.7,NA,10.9,"Emily_MOORHEAD",NA,NA,10.9,NA,NA,NA,NA,8.266,19.166
"ROPER","Emily","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",25,4.5,6.7,0,11.2,"Emily_ROPER",NA,NA,12.325,NA,NA,12.96875,11.8,11.75,48.84375
"TODD","Emily","w","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",38,4.7,5.75,0,10.45,"Emily_TODD",NA,NA,11.375,NA,NA,12.675,10.95,12.5375,47.5375
"WHITEHEAD","Emily","w","AUS","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",5,4.8,7.6,NA,12.4,"Emily_WHITEHEAD",NA,NA,12.5333333333333,NA,NA,12.59575,12.175,11.525,48.8290833333333
"MALEWSKI","Emma Leonie","w","GER","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",17,5.2,7.733,NA,12.933,"Emma Leonie_MALEWSKI",NA,NA,12.555,NA,NA,12.966,13.0521428571429,12.913,51.4861428571429
"FERNANDEZ","Emma","w","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",99,5.1,6.033,0.1,11.033,"Emma_FERNANDEZ",NA,NA,12.2553333333333,NA,NA,12.6165,11.4495,12.1665,48.4878333333333
"MALEWSKI","Emma","w","GE1","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",19,5.3,7.15,NA,12.45,"Emma_MALEWSKI",NA,NA,11.65,NA,NA,6.2,12.45,12.4,42.7
"Ross","Emma","w","AUS","1-4 Jun 2023","2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel",17,4.5,6.133,NA,10.633,"Emma_Ross",NA,NA,12.133,NA,NA,NA,10.633,NA,22.766
"ROSS","Emma","w","AUS","25-28 May 2023","2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria",13,4.6,7.533,0,12.133,"Emma_ROSS",NA,NA,12.633,NA,NA,NA,12.133,9.233,33.999
"SLEVIN","Emma","w","IRL","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",78,5,6.533,NA,11.533,"Emma_SLEVIN",NA,NA,11.483,NA,NA,12.922,11.4915,11.233,47.1295
"SPENCE","Emma","w","CAN","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England",31,5.1,7.433,NA,12.533,"Emma_SPENCE",NA,NA,12.8386666666667,NA,NA,13.1066,12.69975,12.75825,51.4032666666667
"YAP","Emma","w","SGP","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",10,4.9,6.6,NA,11.5,"Emma_YAP",NA,NA,11.925,NA,NA,11.65,11.275,10.55,45.4
"DAMDINDORJ","Enkhtuvshin","m","MGL","23-26 Feb 2023","FIG Apparatus World Cup 2023","qual","Cottbus, Germany",14,5.5,8.066,NA,13.566,"Enkhtuvshin_DAMDINDORJ",12.6165,13.633,13.416,11.1495,10.783,10.283,NA,NA,71.881
"PINXTEN","Erika","w","BEL","17-19 Mar 2023","EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany",26,4.5,7.45,0.1,11.85,"Erika_PINXTEN",NA,NA,11.85,NA,NA,5.875,12.8495,11.3553333333333,41.9298333333333
"PINDER","Erin","w","BAR","29 Jul-2 Aug 2022","BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England",39,3.4,3.4,NA,6.8,"Erin_PINDER",NA,NA,8.35,NA,NA,NA,6.8,7.5,22.65
"LIASKINAS","Ernestas","m","LTU","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany",109,4.5,6.2,NA,10.7,"Ernestas_LIASKINAS",NA,10.733,10.7,NA,NA,12.633,NA,NA,34.066
"DICK","Ethan","m","NZL","29 Jul-2 Aug, 2023","BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England",16,5.1,6.45,0.1,11.45,"Ethan_DICK",12.4776666666667,13.61225,12.1943333333333,12.6053333333333,12.6833333333333,13.3776666666667,NA,NA,76.9505833333333
"COX","Euan","m","GBR","24-27 Mar 2022","2022 British Gymnastics Championships","qual","Liverpool, England",23,5.7,7.05,0.1,12.65,"Euan_COX",8.025,5.1,6.325,12.6,12.95,14.3,NA,NA,59.3
