LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Rank,D_Score,E_Score,Penalty,Score,HB,PH,FX,PB,SR,VT,BB,UB,index
DRNCOVA,Eliska,w,CZE,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",83.0,4.9,5.4,0.1,10.2,,,11.966,,,12.166,11.133,11.849499999999999,2562
BORG,Ella,w,MLT,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",138.0,4.4,5.2,,9.6,,,11.377333333333334,,,11.811,9.511000000000001,8.833333333333334,1146
ROBINSON,Ella,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",32.0,4.2,6.6,0.0,10.8,,,11.375,,,12.0,11.225000000000001,9.525,8881
BELBIN,Ellie,w,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",36.0,4.1,6.1,0.0,10.2,,,11.45,,,12.875,10.2,9.25,958
GARGETT,Ellie,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",44.0,3.3,6.85,0.0,10.15,,,10.05,,,11.85,10.15,,3272
PATRICK,Ellie,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",10.0,4.8,7.1,0.0,11.9,,,11.85,,,12.25,11.9,12.05,8072
RUSSELL,Ellie,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",24.0,4.5,7.3,0.0,11.8,,,11.8,,,12.45,,11.85,9058
COOPER,Elliott,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",27.0,4.8,7.65,0.0,12.45,12.3,12.05,12.45,12.7,11.55,12.55,,,1861
BLACK,Elsabeth,w,CAN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",4.0,5.8,7.633,,13.433,,,13.2995,,,13.89125,13.421666666666667,13.933,1102
KATSALI,Elvira,w,GRE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",40.0,4.7,7.633,,12.333,,,11.549999999999999,,,11.7995,11.344333333333333,10.044,4860
WESTLUND,Emelie,w,SWE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",75.0,4.3,7.233,,11.533,,,11.916,,,12.377333333333333,11.499600000000001,12.5932,11398
AKHMEJANOV,Emil,m,KAZ,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",129.0,5.7,5.4,0.5,10.6,12.058,7.766500000000001,12.466666666666667,12.7,11.766,13.729800000000001,,,271
Akhmejanov,Emil,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",26.0,5.7,5.65,,11.35,9.0,12.6,11.35,13.1,,14.178999999999998,,,707
BARBER,Emil,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,final,"Liverpool, England",5.0,5.4,8.27,0.0,13.666,12.35,11.1,13.766499999999999,12.9,,13.7165,,,855
SORAVUO,Emil,m,FIN,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",11.0,5.5,8.633,,14.133,,,14.133,,,,,,9822
KULCZYNSKA,Emilia,w,POL,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",68.0,4.5,6.8,,11.3,,,10.749500000000001,,,11.799666666666667,11.75,11.433,5552
BREMNER,Emily,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",18.0,4.7,6.85,0.1,11.45,,,11.625,,,12.85,11.475,11.4,1226
MOORHEAD,Emily,w,IRL,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",99.0,4.2,6.7,,10.9,,,10.9,,,,,8.266,7205
ROPER,Emily,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",25.0,4.5,6.7,0.0,11.2,,,12.325,,,12.96875,11.799999999999999,11.75,8973
TODD,Emily,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",38.0,4.7,5.75,0.0,10.45,,,11.375,,,12.675,10.95,12.537500000000001,10574
WHITEHEAD,Emily,w,AUS,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",5.0,4.8,7.6,,12.4,,,12.533333333333333,,,12.59575,12.175,11.524999999999999,11431
FERNANDEZ,Emma,w,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",99.0,5.1,6.033,0.1,11.033,,,12.255333333333333,,,12.6165,11.4495,12.1665,2943
MALEWSKI,Emma,w,GE1,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",19.0,5.3,7.15,,12.45,,,11.65,,,6.2,12.45,12.4,6392
ROSS,Emma,w,AUS,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",13.0,4.6,7.533,0.0,12.133,,,12.633,,,,12.133,9.233,8988
Ross,Emma,w,AUS,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",17.0,4.5,6.133,,10.633,,,12.133,,,,10.633,,9115
SLEVIN,Emma,w,IRL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",78.0,5.0,6.533,,11.533,,,11.483,,,12.921999999999999,11.491499999999998,11.232999999999999,9737
SPENCE,Emma,w,CAN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",31.0,5.1,7.433,,12.533,,,12.838666666666667,,,13.1066,12.69975,12.75825,9845
YAP,Emma,w,SGP,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",10.0,4.9,6.6,,11.5,,,11.925,,,11.65,11.275,10.55,11601
MALEWSKI,Emma Leonie,w,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",17.0,5.2,7.733,,12.933,,,12.555,,,12.966,13.052142857142858,12.913,6397
DAMDINDORJ,Enkhtuvshin,m,MGL,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",14.0,5.5,8.066,,13.566,12.6165,13.633,13.416,11.1495,10.783000000000001,10.283,,,2037
PINXTEN,Erika,w,BEL,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",26.0,4.5,7.45,0.1,11.85,,,11.85,,,5.875,12.849499999999999,11.355333333333334,8348
PINDER,Erin,w,BAR,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",39.0,3.4,3.4,,6.8,,,8.35,,,,6.8,7.5,8345
LIASKINAS,Ernestas,m,LTU,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",109.0,4.5,6.2,,10.7,,10.733,10.7,,,12.633,,,6035
DICK,Ethan,m,NZL,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",16.0,5.1,6.45,0.1,11.45,12.477666666666666,13.61225,12.194333333333333,12.605333333333334,12.683333333333332,13.377666666666665,,,2387
COX,Euan,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",23.0,5.7,7.05,0.1,12.65,8.025,5.1,6.325,12.6,12.95,14.3,,,1894
MCLELLAN,Euan,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",26.0,4.8,7.7,0.0,12.5,11.925,9.65,11.625,13.149999999999999,12.35,12.8,,,6745
ZLOBEC,Evandra,w,CAN,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",38.0,4.5,6.7,,11.2,,,12.65,,,5.725,11.2,11.2,11879
DIMITRIOU,Evangelina,w,CYP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",115.0,4.6,4.166,,8.766,,,11.666,,,11.866,8.766,7.233,2425
RUITER,Eve,w,NED,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",88.0,4.6,6.633,,11.233,,,11.9,,,13.0,11.233,,9022
FLAGE DONOVAN,Evie,w,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",9.0,4.8,7.5,0.0,12.3,,,,,,,,12.3,2964
MC ATEER,Ewan,m,IRL,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",89.0,5.1,7.3,,12.4,12.2,11.733,12.4,12.166,11.933,13.866,,,6719
INDIG,Eyal,m,ISR,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",9.0,6.0,7.45,0.0,13.45,,13.6915,,,,,,,4241
Indig,Eyal,m,ISR,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",1.0,6.0,8.15,,14.15,,14.275,,,,,,,4281
THORSDOTTIR,Eythora,w,NED,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",68.0,5.3,6.366,,11.666,,,12.588666666666667,,,13.413000000000002,12.188666666666668,13.533000000000001,10429
DE LUNA,Fabian,m,MEX,24-28 Jun 2023,2023 Central American and Caribbean Games,final,"San Salvador, El Salvador",6.0,4.9,8.0,0.1,12.8,,,12.191500000000001,11.677333333333332,13.302500000000002,13.601666666666667,,,2206
DABOUR,Farida,w,EGY,27-30 Apr 2023,World Cup,qual,"Cairo, Egypt",20.0,3.6,8.5,,12.1,,,,,,12.0165,,,2032
BOUKHATEM,Fatma Zohra,w,ALG,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",145.0,4.2,4.3,,8.5,,,11.466,,,12.0,8.5,10.566,1160
PASCUCCI OSIROFF,Faustina,w,ARG,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",39.0,3.6,6.466,,10.066,,,11.233,,,10.75,10.066,11.0,8034
DOLCI,Felix,m,CAN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",102.0,5.9,6.633,0.1,12.433,13.653199999999998,10.604,13.562249999999999,14.1132,13.913666666666666,14.193200000000001,,,2451
ARICAN,Ferhat,m,TUR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",64.0,4.4,8.533,,12.933,12.909799999999999,13.925666666666666,14.2,14.706230769230768,,11.7665,,,447
Arican,Ferhat,m,TUR,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",6.0,6.0,7.85,,13.85,,13.383333333333333,,14.379,,,,,721
ENGHELS,Fien,w,BEL,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",19.0,4.7,8.0,,12.7,,,,,,,12.2415,13.336399999999998,2725
BOROSA,Filip,m,CRO,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",13.0,4.3,7.95,0.0,12.25,,,12.25,,,,,,1158
LIDBECK,Filip,m,SWE,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",83.0,5.7,7.3,0.3,12.7,,,13.288666666666666,,,13.6915,,,6038
SASNAL,Filip,m,POL,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",50.0,5.6,7.9,0.2,13.3,9.5995,10.524750000000001,12.674750000000001,12.666250000000002,12.108,13.524625,,,9278
UDE,Filip,m,CRO,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",8.0,5.7,6.8,,12.5,,13.4198,,,,,,,10892
Ude,Filip,m,CRO,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",10.0,5.1,8.6,,13.7,,13.7,,,,,,,10919
MARTINS,Filipa,w,POR,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",60.0,5.3,6.633,0.3,11.633,,,12.7,,,13.3,11.7915,12.213,6602
ALMEIDA,Filipe,m,POR,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",51.0,5.1,8.333,0.3,13.133,12.666,10.866,13.133,10.233,9.233,13.066,,,312
SAFKEN,Finja,w,GER,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",36.0,3.8,7.2,,11.0,,,11.0,,,12.3,,,9135
MORGAN,Finlay,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",19.0,4.7,8.1,0.0,12.8,11.75,11.2,12.350000000000001,11.25,11.975000000000001,13.75,,,7244
SARAIVA,Flavia,w,BRA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",20.0,5.7,7.2,,12.9,,,14.2,,,13.833,12.9,13.2,9264
SLOOFF,Floor,w,NED,25-28 May 2023,2023 Varna World Challenge Cup Results,final,"Varna, Bulgaria",5.0,4.9,7.0,0.0,11.9,,,11.566,,,12.4495,12.233,,9758
Slooff,Floor,w,,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",3.0,5.2,7.633,0.1,12.733,,,12.7995,,,12.7495,,12.1,10110
LANGENEGGER,Florian,m,SUI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",118.0,5.2,6.766,0.1,11.866,12.860999999999999,13.008,13.4165,13.616333333333335,13.0205,11.146600000000001,,,5806
SANTI,Franchesca,w,CHI,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",144.0,4.6,4.233,,8.833,,,12.2,,,12.999500000000001,8.833,10.333,9255
MORALES,Franciny,w,CRC,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",139.0,4.6,5.266,0.3,9.566,,,11.072000000000001,,,12.477666666666666,10.722,10.3,7207
ACUNA,Francisco,m,CRC,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",14.0,4.3,8.2,,12.5,12.066666666666668,11.75,12.4,12.95,11.75,12.95,,,196
BAINES,Frank,m,SCO,"29 Jul-2 Aug, 2023",BIRMINGHAM 2022 Commonwealth Games,AAfinal,"Birmingham, England",4.0,4.6,8.75,,13.35,12.799999999999999,12.775,13.405333333333333,13.3,13.075,13.95,,,781
LEE MAN HIN,Frankie,m,HKG,25-28 May 2023,2023 Varna World Challenge Cup Results,qual,"Varna, Bulgaria",13.0,4.8,8.9,0.0,13.7,,,,,,13.399999999999999,,,5947
GRIFFITHS,Fraser Guest,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",,4.3,5.63,0.0,9.933,,11.566,9.933,12.7,,13.565999999999999,,,3544
LYNES,Fraser Guest,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",,4.4,7.33,0.0,11.733,,,,,11.733,,,,6213
RICHARD,Frederick,m,USA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",12.0,6.1,8.05,0.1,14.05,14.0,13.6,14.05,13.9665,,14.575,,,8826
RICHARD,Frederick Nathaniel,m,USA,1-5 Aug 2023,2023 FISH World University Games,AAfinal,"Chengdu, China",3.0,6.1,8.066,,14.166,13.911000000000001,13.783000000000001,13.849499999999999,13.933,13.6495,13.75,,,8833
AAS,Fredrik,m,NOR,23-26 Feb 2023,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",39.0,4.6,6.7,,11.3,11.3,12.2,,,,,,,0
AAS,Fredrik Bjornevik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",54.0,4.0,8.566,,12.566,12.766,11.666,12.566,12.466,11.866,12.966,,,2
PETERSEN,Freja,w,DEN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",91.0,4.5,6.633,,11.133,,,10.933,,,11.683,11.3165,10.483,8237
BARBOSA,Gabriel,m,BRA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",39.0,5.2,7.8,,13.0,,13.0165,,13.0,13.1,,,,866
BURTANETE,Gabriel,m,ROU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",20.0,5.2,8.0,0.1,13.1,12.353000000000002,12.179599999999999,13.255166666666666,13.099666666666666,13.4275,14.235199999999999,,,1339
BARBOSA,Gabriela,w,BRA,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",34.0,4.3,7.1,,11.4,,,11.4,,,6.325,,12.25,870
KHACHIKYAN,Gagik,m,ARM,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",72.0,4.8,8.2,,13.0,11.711,13.985800000000001,13.344333333333333,12.655333333333333,12.477333333333334,13.3398,,,4965
Khachikyan,Gagik,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",1.0,6.3,8.466,,14.766,,14.683,,,,,,,5702
NAPIER,Garcelle,w,RSA,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",24.0,5.0,6.55,,11.55,,,11.55,,,12.0,,11.5,7502
Napier,Garcelle,w,RSA,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",12.0,5.1,7.033,,12.133,,,12.133,,,12.333,,10.933,7763
KUMAR,Gaurav,m,IND,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",81.0,5.2,7.6,,12.8,11.9,11.7,12.8,13.5,12.3,12.566,,,5561
DOR,Geffen,w,ISR,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",92.0,4.4,6.033,,10.433,,,11.5165,,,,10.6495,9.466,2524
Dor,Geffen,w,ISR,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,qual,"Tel Aviv, Israel",10.0,4.4,7.433,,11.833,,,,,,,11.833,,2659
HONNOR,George,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",24.0,5.1,7.55,0.1,12.55,12.25,5.85,12.55,11.25,12.15,13.175,,,4072
CHARALAMPOUS,Georgia,w,CYP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",121.0,4.4,3.2,,7.6,,,9.866,,,11.4,7.6,10.966,1674
GODWIN,Georgia,w,AUS,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",14.0,5.4,7.0,,12.4,,,12.891499999999999,,,13.313666666666668,13.2366,13.5066,3466
Godwin,Georgia,w,AUS,8-11 Jun 2023,2023 Osijek Challenge Cup,final,"Osijek, Croatia.",1.0,5.9,8.0,,13.9,,,13.566749999999999,,,13.35825,13.2165,13.3,3649
FENTON,Georgia Mae,w,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",47.0,5.2,6.9,,12.1,,,12.919,,,13.266428571428573,12.63325,13.766583333333335,2908
BROWN,Georgia Rose,w,AUS,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",132.0,4.3,6.833,,11.133,,,11.133,,,13.0,,13.106399999999999,1281
ANGONAS,Georgios,m,CYP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",120.0,4.8,7.266,0.4,11.666,13.005333333333333,11.708,12.069,12.910833333333334,12.430166666666667,13.653625000000002,,,368
KELESIDIS,Georgios,m,GRE,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",91.0,4.4,7.6,,12.0,12.0,11.8,,12.333,,,,,4928
MARTINEZ,Getsemary,w,VEN,24-28 Jun 2023,2023 Central American and Caribbean Games,qual,"San Salvador, El Salvador",30.0,4.0,5.7,,9.7,,,11.3,,,11.6,9.7,10.6,6554
REGINI MORAN,Giarnni,m,GBR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",1.0,6.2,8.333,,14.533,10.85825,13.238666666666667,14.110777777777777,14.510777777777776,,14.392571428571427,,,8761
ESCOBAR,Ginna,w,COL,24-28 Jun 2023,2023 Central American and Caribbean Games,AAfinal,"San Salvador, El Salvador",17.0,4.2,6.45,,10.65,,,12.133333333333333,,,12.41225,11.133333333333335,11.299999999999999,2818
ESCOBAR BETANCUR,Ginna,w,COL,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",43.0,4.4,5.933,0.1,10.233,,,,,,,10.233,11.466,2831
VILLA,Giorgia,w,ITA,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",41.0,5.3,7.0,,12.3,,,,,,,13.062555555555555,14.099699999999999,11165
CUYLE,Glen,m,BEL,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",95.0,5.4,6.7,,12.1,,,12.2,13.6995,13.906199999999998,14.233,,,1947
TREBING,Glenn,m,GER,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",79.0,5.4,7.433,,12.833,12.7165,13.155000000000001,13.316500000000001,12.777333333333333,13.1495,13.766,,,10633
Trebing,Glenn,m,GER,1-4 Jun 2023,2023 Tel Aviv Challenge Cup,final,"Tel Aviv, Israel",3.0,5.2,8.2,,13.4,13.2,13.774999999999999,,14.05,,,,,10875
UCTAS SANLI,Goksu,w,TUR,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",49.0,4.6,7.266,,11.866,,,12.6,,,12.5,11.866,,10889
DAVIES,Grace,w,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,final,"Liverpool, England",5.0,5.1,7.55,0.0,12.65,,,12.05,,,12.65,12.65,12.35,2102
MAYER,Greta,w,HUN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",23.0,5.4,7.466,0.1,12.766,,,11.6396,,,13.078875,12.732750000000001,10.855333333333334,6693
LIN,Guan,m,TPE,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",31.0,5.2,8.0,,13.2,12.933,12.5,13.2,10.866,13.966,13.66,,,6053
LIN,Guan Yi,m,TPE,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",132.0,4.9,5.466,,10.366,10.133,13.0,10.366,13.366,13.960666666666668,14.2,,,6059
HARDARDOTTIR,Gudrun,w,ISL,11-14 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",67.0,4.4,6.933,,11.333,,,,,,,11.333,10.1,3764
CAMPOS,Guilherme,m,POR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",70.0,5.4,7.633,,13.033,11.953,9.288666666666666,13.110999999999999,12.366333333333332,12.610999999999999,14.043999999999999,,,1460
JUMABEKOVA,Gulnaz,w,UZB,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",37.0,4.9,5.2,,10.1,,,11.510666666666667,,,12.503444444444446,9.633,8.983,4534
CHASAZYROVAS,Gytis,m,LTU,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",119.0,5.6,6.533,0.4,11.733,11.966666666666667,12.299666666666667,10.833166666666665,12.822000000000001,11.933,13.466333333333333,,,1707
Chasazyrovas,Gytis,m,,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",25.0,5.5,6.5,,12.0,,12.0,,,,,,,1974
TRINH,Hai Khang,m,VIE,9-12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",23.0,5.4,7.633,,13.033,,,12.877333333333333,,,13.883,,,10671
HILTON,Halle,w,IRL,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",39.0,5.2,7.166,,12.366,,,12.294166666666667,,,12.879000000000001,11.905333333333333,10.810833333333333,3999
CARTER,Hamish,m,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",12.0,5.4,7.35,0.0,12.75,12.577666666666667,11.675,12.275,13.075,12.9,13.8,,,1536
Balzsay,Hanna,w,HUN,8-11 Jun 2023,2023 Osijek Challenge Cup,qual,"Osijek, Croatia.",11.0,4.2,7.933,,12.133,,,12.133,,,,,,1413
WAYMAN,Hannah,w,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",53.0,4.1,5.7,0.1,9.7,,,11.65,,,12.7,9.7,10.7,11375
KUMARASINGHEGE,Hansha Gayashan,m,SRI,29 Jul-2 Aug 2022,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",37.0,2.9,6.15,,9.05,,9.05,,,4.15,,,,5568
KIM,Hansol,m,KOR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",12.0,6.0,8.266,,14.266,,,14.266,,,13.922000000000002,,,5032
YOU,Hao,m,CHN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",42.0,5.3,7.933,,13.233,13.233,13.633,,12.7,14.616499999999998,,,,11685
WIBYE,Harald,m,NOR,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",46.0,5.5,7.966,,13.466,12.677333333333335,12.066333333333333,12.921666666666667,14.143999999999998,12.655333333333333,13.822000000000001,,,11496
WINGROVE,Harriet,w,AUS,17-19 Mar 2023,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",35.0,4.7,6.8,,11.5,,,12.1,,,6.575,11.5,,11530
HEPWORTH,Harry,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",25.0,5.9,6.65,0.0,12.55,,,13.497875,12.075,13.561714285714288,14.554210526315789,,,3931
MERDINYAN,Harutyun,m,ARM,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",3.0,6.1,8.633,,14.733,,14.314444444444442,,,,,,,6837
BULUT,Hasan,m,TUR,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",80.0,4.5,7.833,,12.333,11.777666666666667,11.788666666666666,,13.033333333333331,,,,,1330
SKINNER,Hayden,m,GBR,24-27 Mar 2022,2022 British Gymnastics Championships,qual,"Liverpool, England",18.0,6.2,7.35,0.7,12.85,,12.5,13.3032,,,13.737857142857141,,,9708
RUSHTON,Hayley,w,GBR,23-26 Mar 2023,2023 British Gymnastics Championships,qual,"Liverpool, England",25.0,4.0,7.35,0.0,11.35,,,11.3,,,11.65,11.35,10.8,9054
WATANABE,Hazuki,w,JPN,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",1.0,5.5,8.1,,13.6,,,12.0665,,,6.5,13.166666666666666,12.3415,11366
